9.0,62.0
2.0,63.0
67.0,162.0
70.0,271.0
71.0,226.0
66.0,314.0
34.0,321.0
64.0,276.0
13.0,109.0
15.0,64.0
70.0,338.0
7.0,75.0
66.0,190.0
44.0,332.0
35.0,126.0
75.0,303.0
63.0,242.0
48.0,180.0
74.0,206.0
17.0,277.0
21.0,214.0
33.0,62.0
57.0,317.0
66.0,188.0
69.0,265.0
7.0,66.0
52.0,20.0
66.0,136.0
1.0,78.0
6.0,20.0
47.0,347.0
5.0,359.0
64.0,119.0
62.0,218.0
11.0,199.0
53.0,60.0
57.0,145.0
43.0,329.0
71.0,288.0
19.0,76.0
2.0,108.0
43.0,56.0
7.0,305.0
34.0,209.0
20.0,60.0
60.0,259.0
86.0,236.0
17.0,355.0
70.0,325.0
30.0,194.0
42.0,18.0
68.0,336.0
67.0,44.0
7.0,315.0
28.0,297.0
70.0,230.0
1.0,43.0
4.0,88.0
18.0,30.0
70.0,253.0
63.0,294.0
2.0,189.0
64.0,272.0
81.0,26.0
16.0,277.0
12.0,64.0
56.0,318.0
72.0,242.0
44.0,352.0
37.0,323.0
13.0,99.0
28.0,184.0
10.0,60.0
69.0,349.0
17.0,290.0
20.0,185.0
38.0,224.0
42.0,276.0
21.0,197.0
51.0,216.0
2.0,308.0
79.0,238.0
7.0,83.0
61.0,259.0
43.0,209.0
34.0,176.0
77.0,190.0
21.0,295.0
66.0,260.0
41.0,167.0
15.0,229.0
72.0,24.0
4.0,301.0
7.0,295.0
15.0,50.0
58.0,301.0
1.0,55.0
5.0,15.0
65.0,239.0
66.0,136.0
8.0,6.0
47.0,10.0
18.0,359.0
51.0,218.0
71.0,148.0
53.0,354.0
16.0,268.0
18.0,338.0
51.0,125.0
3.0,292.0
11.0,94.0
63.0,312.0
65.0,230.0
32.0,328.0
14.0,195.0
82.0,319.0
65.0,284.0
70.0,202.0
42.0,245.0
45.0,3.0
64.0,327.0
17.0,277.0
6.0,301.0
58.0,208.0
9.0,350.0
9.0,269.0
9.0,77.0
40.0,258.0
2.0,180.0
42.0,54.0
0.0,22.0
65.0,242.0
76.0,320.0
4.0,62.0
19.0,287.0
43.0,350.0
15.0,316.0
46.0,219.0
73.0,326.0
11.0,81.0
23.0,340.0
31.0,297.0
16.0,298.0
66.0,171.0
36.0,316.0
3.0,296.0
21.0,37.0
4.0,317.0
28.0,49.0
4.0,115.0
31.0,349.0
82.0,0.0
79.0,130.0
7.0,302.0
15.0,311.0
62.0,352.0
18.0,358.0
13.0,262.0
54.0,324.0
65.0,254.0
19.0,181.0
58.0,205.0
0.0,113.0
12.0,64.0
52.0,221.0
19.0,24.0
28.0,50.0
65.0,253.0
21.0,252.0
4.0,265.0
29.0,132.0
6.0,356.0
30.0,78.0
83.0,127.0
12.0,188.0
53.0,37.0
14.0,28.0
7.0,172.0
57.0,307.0
54.0,292.0
34.0,216.0
18.0,251.0
3.0,3.0
43.0,329.0
29.0,164.0
18.0,72.0
50.0,215.0
4.0,65.0
18.0,251.0
18.0,24.0
57.0,27.0
44.0,331.0
7.0,35.0
15.0,293.0
72.0,249.0
6.0,289.0
67.0,67.0
13.0,344.0
26.0,39.0
67.0,264.0
